,state_abbrevation,state,popultion,robbery_rate,homicide_rate,burglary_rate,motor_vehicle_theft_rate
0,CA,California,39368078,0.0011,0.0001,0.0037,0.0043
1,CO,Colorado,5807719,0.0007,0.0001,0.004,0.0052
2,FL,District of Columbia,21733312,0.0006,0.0001,0.0024,0.0018
3,IL,Florida,12587530,0.001,0.0001,0.0025,0.0017
4,LA,Illinois,4645318,0.0008,0.0002,0.0051,0.0027
5,MA,Louisiana,6893574,0.0004,0.0,0.0015,0.001
6,MN,Massachusetts,5657342,0.0007,0.0,0.0031,0.0025
7,NV,Minnesota,3138259,0.0009,0.0001,0.0037,0.0034
8,NJ,North Carolina,8882371,0.0005,0.0,0.0015,0.0012
9,NY,New Jersey,19336776,0.0009,0.0,0.0017,0.001
10,NC,Nevada,10600823,0.0007,0.0001,0.0047,0.0019
11,OH,New York,11693217,0.0007,0.0001,0.0032,0.0017
12,OR,Ohio,4241507,0.0005,0.0,0.0034,0.0039
13,RI,Oregon,1057125,0.0003,0.0,0.0017,0.0014
14,TN,Rhode Island,6886834,0.0008,0.0001,0.0038,0.0031
15,TX,Tennessee,29360759,0.0009,0.0001,0.0037,0.0029
16,WA,Texas,7693612,0.0007,0.0,0.0052,0.0036
17,DC,Washington,712816,0.0033,0.0003,0.0028,0.0048
18,HI,Hawaii,3455100,0.0,0.0,0.0,0.0
