,year,City,Name,Price,Bedtype,Review
0,2022,Asheville,"Cabin in 1, South Marshall",170,1 queen bed,4.99 (252)
1,2022,Asheville,Cabin in Hendersonville,249,1 king bed,5.0 (144)
2,2022,Asheville,Chalet in Clyde,176,3 beds,5.0 (8)
3,2022,Asheville,Treehouse in Fletcher,132,1 queen bed,4.97 (195)
4,2022,Asheville,Home in Waynesville,122,1 king bed,New
5,2022,Asheville,Treehouse in Hendersonville,85 ,1 queen bed,4.94 (260)
6,2022,Asheville,Cabin in Mars Hill,92 ,2 beds,4.86 (381)
7,2022,Asheville,Apartment in Asheville,95 ,1 queen bed,5.0 (6)
8,2022,Asheville,Cabin in Canton,114,1 queen bed,4.71 (95)
9,2022,Asheville,Private room in Candler,41 ,1 single bed,4.87 (68)
10,2022,Asheville,Guest suite in Asheville,69 ,2 beds,4.86 (101)
11,2022,Asheville,Tiny home in Asheville,45 ,1 bed,4.43 (7)
12,2022,Asheville,Private room in Hendersonville,31 ,1 queen bed,4.96 (195)
13,2022,Asheville,Tiny home in Black Mountain,102,2 beds,New
14,2022,Asheville,Apartment in Asheville,74 ,1 bed,4.21 (14)
15,2022,Asheville,Bungalow in Asheville,42 ,1 queen bed,5.0 (10)
16,2022,Asheville,Dome in Fairview,349,1 king bed,4.98 (137)
17,2022,Asheville,Guesthouse in Asheville,60 ,2 beds,5.0 (3)
18,2022,Asheville,Private room in Asheville,54 ,1 queen bed,4.84 (237)
19,2022,Asheville,Tiny home in Black Mountain,39 ,1 double bed,4.58 (207)
20,2022,Asheville,Dome in Hendersonville,262,1 king bed,4.98 (189)
21,2022,Asheville,Cottage in Asheville,152,2 beds,New
22,2022,Asheville,Home in Swannanoa,463,5 beds,5.0 (8)
23,2022,Asheville,Cabin in Hendersonville,249,1 king bed,5.0 (144)
24,2022,Asheville,"Cabin in 1, South Marshall",170,1 queen bed,4.99 (252)
25,2022,Asheville,Home in Black Mountain,175,2 queen beds,New
26,2022,Asheville,Private room in Asheville,51 ,1 double bed,4.9 (94)
27,2022,Asheville,Cabin in Asheville,310,1 king bed,4.99 (143)
28,2022,Asheville,Vacation home in Asheville,185,3 beds,4.9 (29)
29,2022,Asheville,Tiny home in Black Mountain,39 ,1 double bed,4.58 (207)
30,2022,Asheville,Cabin in Asheville,283,1 king bed,5.0 (125)
31,2022,Asheville,Guesthouse in Asheville,60 ,2 beds,5.0 (3)
32,2022,Asheville,Guest suite in Asheville,45 ,2 beds,4.77 (471)
33,2022,Asheville,Camper/RV in Swannanoa,85 ,1 double bed,4.91 (348)
34,2022,Asheville,Cottage in Hendersonville,91 ,2 queen beds,New
35,2022,Asheville,Private room in Asheville,53 ,1 double bed,4.91 (318)
36,2022,Asheville,Cabin in Mars Hill,92 ,2 beds,4.86 (381)
37,2022,Asheville,Guesthouse in Fairview,77 ,2 beds,5.0 (5)
38,2022,Asheville,Treehouse in Hendersonville,239,1 king bed,5.0 (69)
39,2022,Asheville,Cabin in Fairview,238,1 king bed,4.96 (282)
40,2022,Asheville,Home in Woodfin,134,2 beds,4.88 (123)
41,2022,Asheville,Private room in Arden,63 ,2 beds,4.9 (48)
42,2022,Asheville,Cabin in Asheville,283,1 king bed,5.0 (125)
43,2022,Asheville,Guesthouse in Asheville,115,1 queen bed,4.98 (176)
44,2022,Asheville,Private room in Candler,46 ,1 queen bed,4.83 (60)
45,2022,Asheville,Tiny home in Fairview,115,1 king bed,4.97 (32)
46,2022,Asheville,Dome in Alexander,194,1 queen bed,4.99 (165)
47,2022,Asheville,Guest suite in Asheville ,64 ,2 beds,4.78 (259)
48,2022,Asheville,Private room in Candler,39 ,1 double bed,4.88 (120)
49,2022,Asheville,Camper/RV in Swannanoa,85 ,1 double bed,4.91 (348)
50,2022,Asheville,Tiny home in Clyde,255,1 bed,5.0 (7)
51,2022,Asheville,Private room in Asheville,45 ,1 double bed,4.91 (238)
52,2022,Asheville,Cottage in Asheville,280,1 queen bed,4.99 (239)
53,2022,Asheville,Guest suite in Asheville,49 ,2 beds,4.89 (171)
54,2022,Asheville,Home in Black Mountain,175,2 queen beds,New
55,2022,Asheville,Bus in Asheville,37 ,2 beds,4.64 (132)
56,2022,Asheville,Private room in Asheville,52 ,1 queen bed,4.88 (175)
57,2022,Asheville,Private room in Asheville,46 ,1 queen bed,4.87 (344)
58,2022,Asheville,Chalet in Clyde,129,2 beds,4.97 (114)
59,2022,Asheville,Cabin in Weaverville,200,2 queen beds,5.0 (169)
60,2022,Asheville,Cabin in Hendersonville,229,2 beds,5.0 (239)
61,2022,Asheville,Treehouse in Asheville,350,1 double bed,4.98 (579)
62,2022,Asheville,Tiny home in Arden,195,1 queen bed,5.0 (187)
63,2022,Asheville,Tiny home in Clyde,300,1 bed,5.0 (5)
64,2022,Asheville,Guest suite in Asheville,86 ,2 beds,New
65,2022,Asheville,Home in Woodfin,155,2 beds,4.97 (29)
66,2022,Asheville,Home in Asheville,285,5 beds,4.97 (230)
67,2022,Asheville,Cottage in Weaverville,66 ,1 queen bed,4.96 (25)
68,2022,Asheville,Home in Woodfin,134,2 beds,4.88 (123)
69,2022,Asheville,Chalet in Clyde,129,2 beds,4.97 (114)
70,2022,Asheville,Home in Waynesville,176,3 beds,4.83 (6)
71,2022,Asheville,Dome in Hendersonville,262,1 king bed,4.98 (189)
72,2022,Asheville,Home in Swannanoa,463,5 beds,5.0 (8)
73,2022,Asheville,Yurt in Asheville,120,2 beds,4.75 (233)
74,2022,Asheville,Tiny home in Asheville,105,1 sofa bed,4.95 (238)
75,2022,Asheville,Treehouse in Hendersonville,85 ,1 queen bed,4.94 (260)
76,2022,Asheville,Guesthouse in Asheville,82 ,1 bed,4.96 (205)
77,2022,Asheville,Private room in Asheville,50 ,1 bed,4.92 (13)
